iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
94547500,353104,2390,18,1,1,1,2
94547600,353083,2390,18,1,1,1,2
94547700,353062,2390,18,1,1,1,2
94547800,353041,2390,18,1,1,1,2
94547900,353019,2390,18,1,1,1,2
94548000,352998,2390,18,1,1,1,2
94548200,352956,2390,18,1,1,1,2
94548300,352934,2390,18,1,1,1,2
94548400,352913,2390,18,1,1,1,2
94548500,352891,2390,18,1,1,1,2
94548600,352870,2390,18,1,1,1,2
94548700,352848,2390,18,1,1,1,2
94548800,352827,2390,18,1,1,1,2
94548900,352805,2390,18,1,1,1,2
94549000,352784,2390,18,1,1,1,2
94549200,352741,2390,18,1,1,1,2
94549300,352720,2390,18,1,1,1,2
94549400,352699,2390,18,1,1,1,2
94549500,352677,2390,18,1,1,1,2
94549600,352656,2390,18,1,1,1,2
94549700,352635,2390,18,1,1,1,2
94549800,352614,2390,18,1,1,1,2
94549900,352593,2390,18,1,1,1,2
94550000,352572,2390,18,1,1,1,2
94550200,352529,2390,18,1,1,1,2
94550300,352508,2390,18,1,1,1,2
94550400,352487,2390,18,1,1,1,2
94550500,352466,2390,18,1,1,1,2
94550600,352445,2390,18,1,1,1,2
94550700,352424,2390,18,1,1,1,2
94550800,352403,2390,18,1,1,1,2
94550900,352381,2390,18,1,1,1,2
94551000,352360,2390,18,1,1,1,2
94551100,352339,2390,18,1,1,1,2
94551200,352318,2390,18,1,1,1,2
94551300,352297,2390,18,1,1,1,2
94551400,352276,2390,18,1,1,1,2
94551500,352255,2390,18,1,1,1,2
94551600,352234,2390,18,1,1,1,2
94551700,352213,2390,18,1,1,1,2
94551800,352191,2390,18,1,1,1,2
94551900,352170,2390,18,1,1,1,2
94552000,352148,2390,18,1,1,1,2
94552200,352106,2390,18,1,1,1,2
94552300,352085,2390,18,1,1,1,2
94552400,352064,2390,18,1,1,1,2
94552500,352043,2390,18,1,1,1,2
94552600,352022,2390,18,1,1,1,2
94552700,352001,2390,18,1,1,1,2
94552800,351980,2390,18,1,1,1,2
94552900,351958,2390,18,1,1,1,2
94553000,351937,2390,18,1,1,1,2
94553100,351916,2390,18,1,1,1,2
94553200,351895,2390,18,1,1,1,2
94553300,351874,2390,18,1,1,1,2
94553400,351853,2390,18,1,1,1,2
94553500,351832,2390,18,1,1,1,2
94553600,351810,2390,18,1,1,1,2
94553700,351789,2390,18,1,1,1,2
94553800,351768,2390,18,1,1,1,2
94553900,351747,2390,18,1,1,1,2
94554000,351725,2390,18,1,1,1,2
94554200,351682,2390,18,1,1,1,2
94554300,351662,2390,18,1,1,1,2
94554400,351641,2390,18,1,1,1,2
94554500,351620,2390,18,1,1,1,2
94554600,351598,2390,18,1,1,1,2
94554700,351577,2390,18,1,1,1,2
94554800,351556,2390,18,1,1,1,2
94554900,351535,2390,18,1,1,1,2
94555000,351514,2390,18,1,1,1,2
94555100,351492,2390,18,1,1,1,2
94555200,351471,2390,18,1,1,1,2
94555300,351449,2390,18,1,1,1,2
94555400,351428,2390,18,1,1,1,2
94555500,351407,2390,18,1,1,1,2
94555600,351386,2390,18,1,1,1,2
94555700,351365,2390,18,1,1,1,2
94555800,351343,2390,18,1,1,1,2
94555900,351322,2390,18,1,1,1,2
94556000,351301,2390,18,1,1,1,2
94556200,351258,2390,18,1,1,1,2
94556300,351237,2390,18,1,1,1,2
94556400,351216,2390,18,1,1,1,2
94556500,351194,2390,18,1,1,1,2
94556600,351173,2390,18,1,1,1,2
94556700,351152,2390,18,1,1,1,2
94556800,351131,2390,18,1,1,1,2
94556900,351110,2390,18,1,1,1,2
94557000,351089,2390,18,1,1,1,2
94557200,351046,2390,18,1,1,1,2
94557300,351025,2390,18,1,1,1,2
94557400,351004,2390,18,1,1,1,2
94557500,350983,2390,18,1,1,1,2
94557600,350961,2390,18,1,1,1,2
94557700,350940,2390,18,1,1,1,2
94557800,350919,2390,18,1,1,1,2
94557900,350898,2390,18,1,1,1,2
94558000,350877,2390,18,1,1,1,2
94558100,350856,2390,18,1,1,1,2
94558200,350834,2390,18,1,1,1,2
94558300,350813,2390,18,1,1,1,2
94558400,350792,2390,18,1,1,1,2
94558500,350771,2390,18,1,1,1,2
94558600,350750,2390,18,1,1,1,2
94558700,350729,2390,18,1,1,1,2
94558800,350707,2390,18,1,1,1,2
94558900,350686,2390,18,1,1,1,2
94559000,350665,2390,18,1,1,1,2
94559100,350644,2390,18,1,1,1,2
94559200,350623,2390,18,1,1,1,2
94559300,350601,2390,18,1,1,1,2
94559400,350580,2390,18,1,1,1,2
94559500,350559,2390,18,1,1,1,2
94559600,350538,2390,18,1,1,1,2
94559700,350517,2390,18,1,1,1,2
94559800,350496,2390,18,1,1,1,2
94559900,350475,2390,18,1,1,1,2
94560000,350453,2390,18,1,1,1,2
94560200,350411,2390,18,1,1,1,2
94560300,350390,2390,18,1,1,1,2
94560400,350369,2390,18,1,1,1,2
94560500,350348,2390,18,1,1,1,2
